16 08 2023 - 15:06:40.434 [http-nio-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16 08 2023 - 15:06:40.446 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
16 08 2023 - 15:06:40.449 [http-nio-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
16 08 2023 - 19:34:57.701 [main] INFO  com.example.YoutubeApplication - Starting YoutubeApplication using Java 19.0.1 with PID 6544 (E:\JAVA Jetbreins\youtube_v1\target\classes started by umint in E:\JAVA Jetbreins\youtube_v1)
16 08 2023 - 19:34:57.703 [main] DEBUG com.example.YoutubeApplication - Running with Spring Boot v3.1.2, Spring v6.0.11
16 08 2023 - 19:34:57.705 [main] INFO  com.example.YoutubeApplication - The following 1 profile is active: "urazgali"
16 08 2023 - 19:34:59.226 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16 08 2023 - 19:34:59.351 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 111 ms. Found 9 JPA repository interfaces.
16 08 2023 - 19:35:00.266 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
16 08 2023 - 19:35:00.281 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
16 08 2023 - 19:35:00.282 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
16 08 2023 - 19:35:00.430 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16 08 2023 - 19:35:00.430 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2640 ms
16 08 2023 - 19:35:00.654 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16 08 2023 - 19:35:00.748 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
16 08 2023 - 19:35:00.753 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
16 08 2023 - 19:35:01.035 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
16 08 2023 - 19:35:01.317 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
16 08 2023 - 19:35:01.420 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
16 08 2023 - 19:35:02.202 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@72b40f87
16 08 2023 - 19:35:02.205 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
16 08 2023 - 19:35:03.385 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
16 08 2023 - 19:35:05.289 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
16 08 2023 - 19:35:07.070 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16 08 2023 - 19:35:07.719 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
16 08 2023 - 19:35:09.046 [main] DEBUG com.example.config.JwtTokenFilter - Filter 'jwtTokenFilter' configured for use
16 08 2023 - 19:35:10.210 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16 08 2023 - 19:35:10.840 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5035c23c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4149067d, org.springframework.security.web.context.SecurityContextHolderFilter@2f6fcc70, org.springframework.security.web.header.HeaderWriterFilter@67f5066e, org.springframework.security.web.authentication.logout.LogoutFilter@620ba19c, com.example.config.JwtTokenFilter@7441edeb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5effc15d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2a7ed9bd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4d8458a1, org.springframework.security.web.access.ExceptionTranslationFilter@77393f2e, org.springframework.security.web.access.intercept.AuthorizationFilter@57283e4]
16 08 2023 - 19:35:11.341 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
16 08 2023 - 19:35:11.358 [main] INFO  com.example.YoutubeApplication - Started YoutubeApplication in 14.547 seconds (process running for 16.235)
16 08 2023 - 19:35:46.862 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
16 08 2023 - 19:35:46.865 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
16 08 2023 - 19:35:46.872 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
16 08 2023 - 19:35:52.458 [main] INFO  com.example.YoutubeApplication - Starting YoutubeApplication using Java 19.0.1 with PID 3608 (E:\JAVA Jetbreins\youtube_v1\target\classes started by umint in E:\JAVA Jetbreins\youtube_v1)
16 08 2023 - 19:35:52.460 [main] DEBUG com.example.YoutubeApplication - Running with Spring Boot v3.1.2, Spring v6.0.11
16 08 2023 - 19:35:52.461 [main] INFO  com.example.YoutubeApplication - The following 1 profile is active: "urazgali"
16 08 2023 - 19:35:53.973 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16 08 2023 - 19:35:54.096 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 110 ms. Found 9 JPA repository interfaces.
16 08 2023 - 19:35:54.925 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
16 08 2023 - 19:35:54.937 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
16 08 2023 - 19:35:54.937 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
16 08 2023 - 19:35:55.063 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16 08 2023 - 19:35:55.064 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2515 ms
16 08 2023 - 19:35:55.256 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16 08 2023 - 19:35:55.322 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
16 08 2023 - 19:35:55.326 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
